,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
35,SL,2022-10-01,86.9,-3.35,5.69,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson lines out sharply to shortstop Francisco Lindor.,R,R,R,ATL,NYM,B,,,2,1,2022,0.18,0.3,1.66,1.2,,,,1,1,Bot,,,,,621512,,,11.571632817623634,-126.03651651407996,-5.169110200596491,-0.2841763012342567,24.12918451084305,-28.04939201793972,3.49,1.62,,,,86.6,2260.0,6.1,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.36,,,,,,,,8,4,Slider,0,1,0,1,1,0,0,1,Infield shift,Standard,223.0,0.0,0.075
36,FF,2022-10-01,94.8,-3.23,5.84,"Swanson, Dansby",621020,453286,ball,ball,,,,,12,Dansby Swanson lines out sharply to shortstop Francisco Lindor.,R,R,R,ATL,NYM,B,,,1,1,2022,-0.59,1.5,1.51,2.7,,,,1,1,Bot,,,,,621512,,,13.616374335743552,-137.28549843824834,-5.825929693431023,-10.4732317392223,30.70082156649389,-11.94033237755634,3.45,1.62,,,,94.3,2484.0,6.3,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.21,,,,,,,,8,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard,224.0,0.0,0.033
37,FF,2022-10-01,93.5,-3.06,5.94,"Swanson, Dansby",621020,453286,ball,ball,,,,,12,Dansby Swanson lines out sharply to shortstop Francisco Lindor.,R,R,R,ATL,NYM,B,,,0,1,2022,-0.65,1.35,1.48,2.98,,,,1,1,Bot,,,,,621512,,,13.034953822803432,-135.3962545663723,-4.772439662253629,-10.89663023781983,31.08138279825802,-14.655577366456328,3.47,1.67,,,,92.7,2434.0,6.2,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.3,,,,,,,,8,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard,222.0,0.0,0.016
38,SL,2022-10-01,85.6,-3.26,5.8,"Swanson, Dansby",621020,453286,foul,foul,,,,,5,Dansby Swanson lines out sharply to shortstop Francisco Lindor.,R,R,R,ATL,NYM,S,,,0,0,2022,-0.06,0.48,0.22,2.45,,,,1,1,Bot,,,,,621512,,,8.30751409648597,-124.54768424932809,-2.6834015228376207,-2.060764023402973,21.150252175775368,-26.79332617932081,3.54,1.67,85.0,61.3,73.0,85.7,2372.0,6.0,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.47,,,,,,,,8,1,Slider,0,1,0,1,1,0,0,1,Infield shift,Standard,203.0,0.0,-0.024
671,SL,2022-08-17,84.5,-3.27,5.53,"Swanson, Dansby",621020,453286,strikeout,called_strike,,,,,9,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,S,2.0,,2,2,2022,0.23,0.25,0.67,1.97,,,,1,6,Bot,,,,,543510,,,8.699735729922008,-122.86242719704222,-2.437428687438405,0.6909938513546274,23.51217189647877,-29.397725087250787,3.48,1.64,,,,84.5,2395.0,6.3,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.22,,,0.0,1.0,0.0,0.0,,48,5,Slider,1,5,1,5,5,1,1,5,Standard,Standard,146.0,-0.011,-0.134
672,CH,2022-08-17,84.9,-3.21,5.56,"Swanson, Dansby",621020,453286,ball,ball,,,,,13,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,B,,,1,2,2022,-1.15,0.14,-1.91,1.95,,,,1,6,Bot,,,,,543510,,,5.372518972445885,-123.5722476856744,-2.373693918011922,-12.9049775458472,25.02642517549509,-30.497138925345656,3.5,1.64,,,,85.0,1347.0,6.4,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.14,,,,,,,,48,4,Changeup,1,5,1,5,5,1,1,5,Standard,Standard,253.0,0.0,0.023
673,SL,2022-08-17,84.6,-3.3,5.52,"Swanson, Dansby",621020,453286,foul,foul,,,,,6,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,S,,,1,1,2022,0.15,0.1,0.32,2.34,,,,1,6,Bot,,,,,543510,,,8.133306110984861,-123.07844871944778,-1.280618755080801,-0.0395969616373103,23.783760151934004,-31.0674442219456,3.48,1.64,,,,84.6,2449.0,6.2,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.26,,,,,,,,48,3,Slider,1,5,1,5,5,1,1,5,Standard,Standard,144.0,0.0,-0.036
674,SL,2022-08-17,84.9,-3.27,5.59,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,B,,,0,1,2022,0.41,0.64,0.5,1.17,,,,1,6,Bot,,,,,543510,,,7.9750871297355985,-123.37525556207775,-5.250677770581114,2.5423204057001896,25.287839533389832,-24.77780166659185,3.5,1.64,,,,84.5,2389.0,6.1,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.35,,,,,,,,48,2,Slider,1,5,1,5,5,1,1,5,Standard,Standard,224.0,0.0,0.016
675,FF,2022-08-17,92.6,-3.15,5.8,"Swanson, Dansby",621020,453286,foul,foul,,,,,5,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,S,,,0,0,2022,-0.9,1.23,0.03,2.74,,,,1,6,Bot,,,,,543510,,,10.066188541601347,-134.5338004673431,-4.717231730105942,-13.04473380404876,27.276444330344116,-16.301144273496075,3.48,1.64,,,,92.5,2347.0,6.2,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.31,,,,,,,,48,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,221.0,0.0,-0.024
676,FF,2022-08-17,94.7,-3.25,5.46,"Swanson, Dansby",621020,453286,sac_fly,hit_into_play,,,,,4,Dansby Swanson out on a sacrifice fly to center fielder Brandon Nimmo.   Vaughn Grissom scores.    Robbie Grossman to 3rd.,R,R,R,ATL,NYM,X,8.0,fly_ball,2,1,2022,-0.84,1.09,-0.8,2.22,687093.0,543257.0,,1,3,Bot,119.54,36.05,,,543510,,,8.253347091054595,-137.6583620400639,-5.259443402255645,-12.369107230079498,27.94517541693661,-17.291199360049234,3.48,1.64,402.0,103.1,24.0,95.2,2326.0,6.4,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.07,0.734,1.232,0.0,1.0,0.0,0.0,6.0,28,4,4-Seam Fastball,0,4,0,4,4,1,1,4,Standard,Standard,226.0,-0.016,-0.437
677,FF,2022-08-17,93.7,-3.31,5.57,"Swanson, Dansby",621020,453286,ball,ball,,,,,11,Dansby Swanson out on a sacrifice fly to center fielder Brandon Nimmo.   Vaughn Grissom scores.    Robbie Grossman to 3rd.,R,R,R,ATL,NYM,B,,,1,1,2022,-0.85,1.13,-0.84,3.29,687093.0,543257.0,,1,3,Bot,,,,,543510,,,8.235544275306736,-136.37397600523676,-2.684805803943213,-12.373011741690824,27.369147918542343,-17.599757681351512,3.55,1.69,,,,94.0,2364.0,6.2,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.25,,,,,,,,28,3,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,229.0,0.0,0.076
