,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
884,SL,2022-08-06,84.8,-3.35,5.38,"Swanson, Dansby",621020,453286,swinging_strike,swinging_strike,,,,,14,Dansby Swanson called out on strikes.,R,R,R,NYM,ATL,S,,,1,1,2022,0.42,0.38,1.21,0.89,,,,0,4,Top,,,,,621512,,,9.75063905314521,-122.98667621739315,-4.807298690373989,2.162772191926561,26.71624442755982,-27.4896439040194,3.52,1.64,,,,84.0,2472.0,6.2,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.31,,,,,,,,26,3,Slider,3,0,0,3,0,3,0,3,Infield shift,Standard,197.0,0.0,-0.054
885,SL,2022-08-06,84.3,-3.28,5.51,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson called out on strikes.,R,R,R,NYM,ATL,B,,,0,1,2022,0.33,0.26,1.54,1.22,,,,0,4,Top,,,,,621512,,,10.44121624190692,-122.24371232409382,-3.999295415164558,1.063914812125112,26.45513202929996,-28.89876423952395,3.48,1.73,,,,83.3,2461.0,6.0,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.47,,,,,,,,26,2,Slider,3,0,0,3,0,3,0,3,Infield shift,Standard,193.0,0.0,0.025
886,SL,2022-08-06,84.6,-3.27,5.52,"Swanson, Dansby",621020,453286,called_strike,called_strike,,,,,6,Dansby Swanson called out on strikes.,R,R,R,NYM,ATL,S,,,0,0,2022,0.38,0.41,0.28,2.57,,,,0,4,Top,,,,,621512,,,7.493607637854569,-122.90312902635064,-1.2540545710055793,2.2130408059448587,27.120744876058662,-28.039750865893968,3.52,1.76,,,,83.9,2365.0,6.2,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.33,,,,,,,,26,1,Slider,3,0,0,3,0,3,0,3,Infield shift,Standard,189.0,0.0,-0.034
896,SL,2022-08-06,85.5,-3.06,5.53,"Swanson, Dansby",621020,453286,strikeout,swinging_strike,,,,,9,Dansby Swanson strikes out swinging.,R,R,R,NYM,ATL,S,2.0,,1,2,2022,0.4,0.46,0.78,1.68,,,,1,1,Top,,,,,621512,,,8.185890401748456,-124.1814807499218,-3.6492488745846456,2.3792400652547574,26.3001085264534,-26.859984152149156,3.52,1.64,,,,84.7,2180.0,6.0,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.47,,,0.0,1.0,0.0,0.0,,2,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,175.0,0.015,-0.112
898,CH,2022-08-06,84.9,-3.1,5.44,"Swanson, Dansby",621020,453286,ball,ball,,,,,13,Dansby Swanson strikes out swinging.,R,R,R,NYM,ATL,B,,,0,2,2022,-1.19,0.32,-0.27,0.58,,,,1,1,Top,,,,,621512,,,8.987869837938227,-123.32913216749613,-5.701031700722492,-13.878168090634407,23.217011898159026,-27.91725337572568,3.55,1.76,,,,85.0,1460.0,6.3,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.2,,,,,,,,2,3,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,247.0,0.0,0.011
900,FF,2022-08-06,94.1,-2.98,5.71,"Swanson, Dansby",621020,453286,foul,foul,,,,,4,Dansby Swanson strikes out swinging.,R,R,R,NYM,ATL,S,,,0,1,2022,-0.75,1.32,-0.81,2.93,,,,1,1,Top,,,,,621512,,,7.26846214157323,-136.8773807072635,-4.459637665231792,-11.044019608882245,29.429069986921142,-14.703347642250632,3.52,1.64,219.0,72.0,51.0,94.0,2393.0,6.2,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.33,,,,,,,,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,215.0,0.0,-0.031
903,SL,2022-08-06,83.9,-3.23,5.56,"Swanson, Dansby",621020,453286,called_strike,called_strike,,,,,3,Dansby Swanson strikes out swinging.,R,R,R,NYM,ATL,S,,,0,0,2022,0.12,0.26,0.63,3.29,,,,1,1,Top,,,,,621512,,,8.633639649825334,-121.97897640869525,0.5589023417517034,-0.2028651200005553,20.60600438810669,-29.81739022765236,3.49,1.7,,,,83.9,2225.0,6.0,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.45,,,,,,,,2,1,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,154.0,0.0,-0.024
1253,FF,2022-07-11,95.1,-3.41,5.69,"Swanson, Dansby",621020,453286,field_out,hit_into_play,,,,,1,Dansby Swanson flies out sharply to left fielder Mark Canha.,R,R,R,ATL,NYM,X,7.0,fly_ball,1,1,2022,-1.18,0.99,-0.33,3.47,,,,0,7,Bot,61.42,57.04,,,621512,,,10.66384045770429,-138.00198049932632,-2.356577652536062,-17.493813600444042,31.721665922497756,-19.159425974534276,3.55,1.64,384.0,103.3,35.0,94.6,2323.0,6.2,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.29,0.554,1.124,0.0,1.0,0.0,0.0,6.0,52,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard,228.0,-0.038,-0.212
1254,SL,2022-07-11,85.2,-3.41,5.5,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson flies out sharply to left fielder Mark Canha.,R,R,R,ATL,NYM,B,,,0,1,2022,0.01,0.51,0.99,1.14,,,,0,7,Bot,,,,,621512,,,10.299304456045483,-123.61837910938183,-4.9310708233933385,-2.00807406854262,24.76862175705713,-26.144973756490675,3.41,1.64,,,,85.0,2287.0,6.3,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.19,,,,,,,,52,2,Slider,0,2,0,2,2,0,0,2,Infield shift,Standard,182.0,0.0,0.025
1255,SL,2022-07-11,85.1,-3.42,5.69,"Swanson, Dansby",621020,453286,called_strike,called_strike,,,,,4,Dansby Swanson flies out sharply to left fielder Mark Canha.,R,R,R,ATL,NYM,S,,,0,0,2022,0.12,0.58,-0.4,2.71,,,,0,7,Bot,,,,,621512,,,6.799907062419434,-123.7987190598595,-1.8648667839544373,-0.0117185106451515,22.94092231034914,-26.027561396280547,3.43,1.64,,,,84.8,2292.0,5.9,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.56,,,,,,,,52,1,Slider,0,2,0,2,2,0,0,2,Infield shift,Standard,168.0,0.0,-0.034
1256,FF,2022-07-11,94.5,-3.22,5.72,"Swanson, Dansby",621020,453286,field_out,hit_into_play,,,,,2,Dansby Swanson pops out to first baseman Pete Alonso in foul territory.,R,R,R,ATL,NYM,X,3.0,popup,1,1,2022,-1.08,1.47,-0.21,3.06,,,,0,4,Bot,152.07,194.67,,,621512,,,10.197952043316262,-137.12253240511487,-4.464167200465203,-15.96855799751078,31.262397402076484,-12.851752740251444,3.55,1.64,66.0,88.0,75.0,94.0,2531.0,6.2,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.28,0.003,0.003,0.0,1.0,0.0,0.0,3.0,32,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard,222.0,-0.029,-0.212
1257,SL,2022-07-11,86.0,-3.52,5.54,"Swanson, Dansby",621020,453286,swinging_strike,swinging_strike,,,,,14,Dansby Swanson pops out to first baseman Pete Alonso in foul territory.,R,R,R,ATL,NYM,S,,,1,0,2022,0.14,0.48,0.68,1.5,,,,0,4,Bot,,,,,621512,,,9.649591021224314,-125.00072450027962,-4.332423384633141,-0.3815654805460865,23.47430740460168,-26.50833867096905,3.55,1.64,,,,86.0,2475.0,6.2,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.29,,,,,,,,32,2,Slider,0,2,0,2,2,0,0,2,Infield shift,Standard,186.0,0.0,-0.043
1258,FF,2022-07-11,94.3,-3.17,5.9,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson pops out to first baseman Pete Alonso in foul territory.,R,R,R,ATL,NYM,B,,,0,0,2022,-1.11,1.54,0.99,2.51,,,,0,4,Bot,,,,,621512,,,13.197077215387983,-136.47642796586345,-6.428317331304833,-16.978463863527566,32.54926742198933,-11.620107076972769,3.48,1.64,,,,93.3,2545.0,6.2,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.3,,,,,,,,32,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard,221.0,0.0,0.033
1260,SL,2022-07-11,84.4,-3.46,5.68,"Swanson, Dansby",621020,453286,strikeout,called_strike,,,,,2,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,S,2.0,,1,2,2022,0.18,0.06,-0.07,3.25,,,,1,1,Bot,,,,,621512,,,7.471304126097247,-122.7117707324934,0.6039080799352088,0.3384067487845824,24.88612233486934,-31.892671013380077,3.46,1.59,,,,83.9,2242.0,6.1,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.43,,,0.0,1.0,0.0,0.0,,6,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,111.0,-0.016,-0.112
1261,SL,2022-07-11,85.0,-3.42,5.55,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,B,,,0,2,2022,0.11,0.33,0.25,0.96,,,,1,1,Bot,,,,,621512,,,8.353380746482548,-123.48605990428312,-5.029329426991729,-0.6423881954485049,25.96905621688921,-27.91587825723563,3.5,1.64,,,,84.5,2083.0,6.2,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.29,,,,,,,,6,3,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,141.0,0.0,0.011
1262,SL,2022-07-11,84.9,-3.42,5.82,"Swanson, Dansby",621020,453286,foul,foul,,,,,4,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,S,,,0,1,2022,0.1,0.12,-0.56,2.33,,,,1,1,Bot,,,,,621512,,,6.462021513097473,-123.421363829623,-2.0386688905693804,-0.3549982708897697,26.080757326501637,-30.710632090863424,3.55,1.64,8.0,82.5,-16.0,84.3,2045.0,6.1,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.43,,,,,,,,6,2,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,110.0,0.0,-0.031
1263,FF,2022-07-11,94.4,-3.39,5.85,"Swanson, Dansby",621020,453286,foul,foul,,,,,2,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,S,,,0,0,2022,-0.75,1.23,0.19,3.31,,,,1,1,Bot,,,,,621512,,,10.90275775559091,-137.2086849654396,-3.7148007019057534,-11.596582063091992,25.534259693461856,-15.84044896067968,3.55,1.64,235.0,80.0,36.0,94.4,2245.0,6.0,661507,453286,621512,624413,641645,500871,596019,592192,607043,608671,54.5,,,,,,,,6,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,216.0,0.0,-0.024
